References	Qty	Description	Digikey	Mouser	RS	Newark	Farnell
C1,C4,C11	3	10u 25V					
C2	1	100n 50V					
C3,C5,C6,C7,C8,C9,C10	7	100n 50V					
D1	1	LED RED					
D2	1	LED GREEN					
J1	1	USB-c					
L1	1	4u7					
R1,R2	2	DNP					
R13	1	100					
R5,R3,R4,R7,R10,R11	6	3k3					
R6,R12	2	10k					
R8,R9	2	0					
SW1	1	SW_Push					
U1	1	USBLC6-4					
U2	1	STM32F072C8Tx					
U3	1	SY8201					
U4	1	FUSB302BMPX					
